year,cause,deaths,deaths_lower,deaths_upper
2003,Digestive diseases,2145070.038111781,1955423.836236589,2354417.1881497903
2003,Lower respiratory infections,2544399.2244247147,2288125.0482628434,2814132.1068611154
2003,Neonatal disorders,2442740.3208594406,2334459.722319609,2563915.9932833235
2003,Total cancers,7268181.686431509,6903783.4054030245,7556704.105621551
2003,"Tracheal, bronchus, and lung cancer",1386652.166436562,1294706.3631937257,1475836.240578038
2003,Tuberculosis,1639344.1119410188,1326906.3822344495,2044327.2578771345
2004,Cardiovascular diseases,14766205.04655328,13896955.996801447,15547809.775540227
2004,Chronic respiratory diseases,3194492.222757853,2697843.875154522,3539684.7305188705
2004,Diabetes and kidney diseases,1904468.950034671,1743067.9473994605,2073701.684717095
2004,Diarrheal diseases,2089657.7387328155,1645427.3276385784,2854760.535414987
2004,Digestive diseases,2155787.39136731,1961379.5697550175,2379112.0098788086
2004,Lower respiratory infections,2502822.377887204,2243888.4987873104,2773968.51792338
2004,Neonatal disorders,2387806.556549244,2275407.528085581,2510126.580287006
2004,Total cancers,7287397.151119529,6927004.876997469,7558731.953659486
2004,"Tracheal, bronchus, and lung cancer",1400468.9027283515,1298448.0128245703,1491101.5265913005
2004,Tuberculosis,1599354.5873867648,1286234.042298312,1985204.9569854897
2005,Cardiovascular diseases,14890596.348255312,13913632.789570311,15623796.33500589
2005,Chronic respiratory diseases,3238721.8989086994,2801096.1994906967,3556618.961827698
2005,Diabetes and kidney diseases,1953796.698788177,1784592.3876869555,2127982.388078136
2005,Diarrheal diseases,2044785.8688518477,1610864.7326602763,2786423.726589137
2005,Digestive diseases,2178723.9858339424,1970080.5154663029,2390510.3776960657
2005,Lower respiratory infections,2486859.0598374787,2229158.6710147928,2778208.837772683
2005,Neonatal disorders,2340530.5156454104,2224825.615688804,2467498.698109758
2005,Total cancers,7384013.702505382,7031606.910910833,7665805.184723237
2005,"Tracheal, bronchus, and lung cancer",1424179.082448608,1324911.4598166985,1513410.227316601
2005,Tuberculosis,1563236.807289013,1264430.354085817,1918295.337208707
2006,Cardiovascular diseases,14997258.486196062,13982682.064825768,15690535.69114957
2006,Chronic respiratory diseases,3226360.8826125404,2793464.823941821,3540402.1961573744
2006,Diabetes and kidney diseases,2001358.8602055544,1836908.3451661812,2180859.9322667136
2006,Diarrheal diseases,2014343.669075776,1593398.187570041,2761242.964400821
2006,Digestive diseases,2179788.716096775,1961991.6673669051,2382603.3504603696
2006,Lower respiratory infections,2451805.6512562726,2185007.048700186,2715951.72701692
2006,Neonatal disorders,2310570.385114236,2200141.823410272,2426645.9164105705
2006,Total cancers,7475981.723178213,7109984.923012952,7753409.511326299
2006,"Tracheal, bronchus, and lung cancer",1454164.6034807202,1348025.7231312613,1543129.7809243351
2006,Tuberculosis,1535858.4338822432,1239580.85687891,1887093.4712661668
2007,Cardiovascular diseases,15199483.507190958,14191529.53533985,15923759.685974548
2007,Chronic respiratory diseases,3271855.610698654,2833575.2193007744,3572053.029025675
2007,Diabetes and kidney diseases,2065925.53714328,1892583.150198205,2248043.623481304
2007,Diarrheal diseases,1977385.1111059797,1563246.8361523475,2697772.9989407174
2007,Digestive diseases,2200688.064600156,1974681.2776654512,2426718.408718833
2007,Lower respiratory infections,2447208.92274514,2184052.1709204144,2713134.280531221
2007,Neonatal disorders,2289990.7406684984,2180650.6834682664,2407874.866923025
2007,Total cancers,7632912.892872714,7229558.051934974,7930326.608129906
2007,"Tracheal, bronchus, and lung cancer",1493888.15383336,1376451.6823775044,1586126.2907478353
2007,Tuberculosis,1514683.3958223534,1219892.3007415656,1860223.233437762
